,,2020-03-28 6pm GMT,2020-03-28 3pm GMT,2020-03-28 5pm GMT,2020-03-28 7pm GMT,2020-03-28 2pm GMT
China,Cases,81394.0,81394.0,81394.0,81394,81394
China,Deaths,3295.0,3295.0,3295.0,3295,3295
China,Recovered,74971.0,74971.0,74971.0,74971,74971
France,Cases,32964.0,37575.0,37575.0,37575,37575
France,Deaths,1995.0,2314.0,2314.0,2314,2314
France,Recovered,5700.0,5700.0,5700.0,5700,5700
Germany,Cases,56202.0,56202.0,56202.0,56202,57695
Germany,Deaths,403.0,403.0,403.0,403,430
Germany,Recovered,6658.0,6658.0,6658.0,6658,8481
India,Cases,,,933.0,933,933
India,Deaths,,,20.0,20,20
India,Recovered,,,84.0,84,84
Italy,Cases,92472.0,92472.0,92472.0,92472,92472
Italy,Deaths,10023.0,10023.0,10023.0,10023,10023
Italy,Recovered,12384.0,12384.0,12384.0,12384,12384
South-Korea,Cases,,,,9478,
South-Korea,Deaths,,,,144,
South-Korea,Recovered,,,,4811,
Spain,Cases,72248.0,72248.0,72248.0,72248,72248
Spain,Deaths,5812.0,5812.0,5812.0,5812,5812
Spain,Recovered,12285.0,12285.0,12285.0,12285,12285
UK,Cases,17089.0,17089.0,17089.0,17089,17089
UK,Deaths,1019.0,1019.0,1019.0,1019,1019
UK,Recovered,135.0,135.0,135.0,135,135
US,Cases,116050.0,116448.0,116448.0,116448,119609
US,Deaths,1937.0,1943.0,1943.0,1943,1988
US,Recovered,3224.0,3224.0,3224.0,3224,3224
Worldwide,Cases,645264.0,650926.0,650926.0,650926,656690
Worldwide,Deaths,29957.0,30299.0,30299.0,30299,30398
Worldwide,Recovered,139550.0,139555.0,139555.0,139555,141414
