,,2020-03-28 6pm GMT,2020-03-28 7pm GMT,2020-03-28 8pm GMT,2020-03-28 9pm GMT,2020-03-28 10pm GMT,2020-03-28 11pm GMT,2020-03-29 12am GMT,2020-03-29 3am GMT,2020-03-29 7am GMT,2020-03-29 8am GMT,2020-03-29 9am GMT,2020-03-29 10am GMT,2020-03-29 11am GMT,2020-03-29 12pm GMT,2020-03-29 1pm GMT,2020-03-29 2pm GMT,2020-03-29 3pm GMT,2020-03-29 4pm GMT,2020-03-29 5pm GMT,2020-03-29 6pm GMT,2020-03-29 7pm GMT,2020-03-29 8pm GMT,2020-03-29 9pm GMT,2020-03-29 10pm GMT,2020-03-29 11pm GMT,2020-03-30 12am GMT,2020-03-30 1am GMT,2020-03-30 2am GMT,2020-03-30 3am GMT,2020-03-30 4am GMT,2020-03-30 8am GMT,2020-03-30 9am GMT,2020-03-30 10am GMT
China,Cases,81394,81394,81394,81394,81394,81394,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81439,81470,81470,81470,81470,81470
China,Deaths,3295,3295,3295,3295,3295,3295,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3304,3304,3304,3304,3304
China,Recovered,74971,74971,74971,74971,74971,74971,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75448,75700,75700,75700,75700,75700
France,Cases,32964,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575,40174,40174,40174,40174,40174,40174,40174,40174,40174,40174,40174,40174,40174,40174
France,Deaths,1995,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2606,2606,2606,2606,2606,2606,2606,2606,2606,2606,2606,2606,2606,2606
France,Recovered,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,7202,7202,7202,7202,7202,7202,7202,7202,7202,7202,7202,7202,7202,7202
Germany,Cases,56202,56202,57695,57695,57695,57695,57695,57695,57695,57695,58247,58247,58247,58247,58247,58247,58247,58247,60659,60659,61164,61164,62095,62095,62095,62095,62095,62435,62435,62435,62435,62435,62435
Germany,Deaths,403,403,430,430,433,433,433,433,433,433,455,455,455,455,455,455,455,455,482,482,490,490,525,525,525,541,541,541,541,541,541,541,541
Germany,Recovered,6658,6658,8481,8481,8481,8481,8481,8481,8481,8481,8481,8481,8481,8481,8481,8481,8481,8481,9211,9211,9211,9211,9211,9211,9211,9211,9211,9211,9211,9211,9211,9211,9211
India,Cases,,,933,933,987,987,987,987,987,987,987,987,987,987,987,987,987,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1071,1071,1071
India,Deaths,,,20,20,24,24,24,24,25,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,27,29,29,29
India,Recovered,,,84,84,84,84,84,84,87,87,87,87,87,87,87,87,87,87,87,95,95,95,95,95,95,95,95,95,95,95,100,100,100
Italy,Cases,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,97689,97689,97689,97689,97689,97689,97689,97689,97689,97689,97689,97689,97689,97689,97689
Italy,Deaths,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10779,10779,10779,10779,10779,10779,10779,10779,10779,10779,10779,10779,10779,10779,10779
Italy,Recovered,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030
South-Korea,Cases,,,9478,9478,9478,9478,9478,9583,9583,9583,9583,9583,9583,9583,9583,9583,9583,9583,9583,9583,9583,9583,9583,9583,9583,9583,9583,9583,9661,9661,9661,9661,9661
South-Korea,Deaths,,,144,144,144,144,144,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,158,158,158,158,158
South-Korea,Recovered,,,4811,4811,4811,4811,4811,5033,5033,5033,5033,5033,5033,5033,5033,5033,5033,5033,5033,5033,5033,5033,5033,5033,5033,5033,5033,5033,5228,5228,5228,5228,5228
Spain,Cases,72248,72248,72248,72335,73232,73235,73235,73235,73235,73235,73235,73235,78797,78797,78797,78797,78797,78799,78799,78799,78799,78898,80031,80031,80110,80110,80110,80110,80110,80110,80110,80110,85195
Spain,Deaths,5812,5812,5812,5820,5982,5982,5982,5982,5982,5982,5982,5982,6528,6528,6528,6528,6528,6606,6606,6606,6606,6618,6802,6802,6803,6803,6803,6803,6803,6803,6803,6803,7340
